,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,-1.1455172,1.3139077,0.75694615,0.5941764,0.5305789,1.536429,0.06508775,0.8251296,-0.43701488,-0.6222128,1.1436771,1.26594,0.5193757,-0.59881127,0.9397524,0.21711841,-0.44579667,-0.2354233,-0.06249312,0.13895375,-1.6103954,-0.040355578,0.08825307,-1.455427,-0.50167286,-0.30290323,-1.6212798,-0.15608285,-1.817855,-0.67915696,-1.7527479,-1.4158317,-1.2943362,-1.7107799,-1.9247373,-1.0161009,-0.9207067,-1.9470812,-2.107129,-1.9315914
11,-1.012484,1.0906123,0.0981263,0.91976815,0.6606324,1.1226523,0.14780137,0.1903011,-0.7487777,-0.33960402,1.4648606,0.7187789,0.3162462,-0.996136,0.37608814,0.47308308,-0.52291137,-0.35221174,0.24681279,0.21643382,-1.5048107,-0.4700196,0.02135758,-1.2258581,-0.10410944,-0.57462716,-1.2933005,-0.36182508,-1.1747146,-0.9893669,-1.8637385,-1.740699,-1.6610957,-1.6636384,-1.9020404,-1.1073961,-0.89535016,-1.8862245,-2.0055983,-2.4551795
12,-0.56410855,0.896165,0.1012076,0.55820966,0.4741613,0.1589722,0.07934829,0.3339121,-0.95322603,-0.21907167,0.53727937,-0.9408584,0.8505886,-0.97509134,0.022222398,0.8002073,-1.3236238,-0.71258336,-0.11245103,-0.64331657,-1.0159475,-0.15298939,-0.31034842,-1.6658334,-0.434824,-1.2632698,-1.4946592,-0.7617295,-1.5403787,-1.2010152,-1.2026464,-1.7275174,-1.1026338,-2.0979457,-1.7851845,-1.9170035,-1.2121387,-0.8894996,-0.7982522,-1.0549617
13,-0.42079198,0.8837956,-0.0069527333,0.90985984,0.7505127,0.33547372,-0.058440994,0.65721995,-1.4073566,0.012420922,0.86478424,-0.8497988,1.3981031,-0.7995324,0.10180487,1.0590034,-1.2561167,-0.7015302,0.7114892,-0.41730085,-1.0999165,-0.15961061,-0.50766313,-1.9241108,0.3236803,-0.9486942,-0.9091366,-1.0489136,-1.407443,-1.2410854,-0.6763566,-2.0132499,-0.75134814,-1.8358395,-1.3507165,-1.6071842,-0.5824157,-1.4566879,-0.9170492,-1.1688455
14,-0.66507465,0.8401856,0.2634066,0.60191864,0.18936442,0.55175173,0.07676853,0.21388872,-1.4491851,-0.44424206,1.3335036,-0.98720753,1.0264478,-0.83522075,0.4961759,0.6535808,-0.9583928,-0.4454469,0.32290348,-0.8466761,-0.7924234,-0.7618544,-0.10311623,-1.3715702,-0.35376635,-0.73561037,-1.4715358,-0.37722054,-1.0051455,-1.0712389,-1.0253688,-1.6011363,-1.040998,-2.0924766,-1.5556619,-1.6959393,-0.84572834,-1.0743792,-1.5066526,-1.721411
15,-0.632851,0.53596324,0.45688957,1.3216794,0.2438354,0.68417233,0.5323454,0.4613026,-1.4454257,-0.44071287,0.88287514,-0.3084847,1.1086833,-0.77418303,0.38494343,0.62403125,-1.1919202,-0.4530241,0.16740903,-0.57266116,-0.9944651,-0.5156146,-0.2487866,-1.4519672,-0.566844,-0.43513164,-1.9844693,-0.5791309,-1.5785354,-0.92148197,-1.319598,-1.432459,-1.2492576,-1.7591331,-1.6485422,-1.6584314,-1.1145025,-1.5921923,-1.9196192,-1.5778669
16,-0.08192949,0.04134232,-0.05634077,-0.2741809,-0.2132029,0.4531038,-1.0125556,-0.006708114,-0.9358965,-1.7522241,0.5959147,-0.9195547,0.035295434,-0.659352,-1.2378534,0.116876364,-1.2401375,-0.6563312,-0.3137652,-1.2183216,-0.9425746,-1.0080692,-0.71800596,-1.5034138,-0.73375076,-1.0408965,-0.43681237,0.23027794,0.31161046,-0.3496938,-0.9796297,-1.2357341,-0.79651356,-0.2776099,0.20452186,1.343356,0.9225423,-0.18792321,-0.5227132,-0.9538646
17,0.28066614,0.37347788,-0.46381807,-0.34396085,0.26924118,0.29681274,-0.7918777,0.13943452,-1.5896702,-1.478957,1.5505081,-1.2304958,0.19249769,-0.27827775,-0.9176987,0.42643398,-1.1040707,-1.6593703,-0.10610829,-1.2382927,-1.0814149,-1.4834069,-0.4315805,-1.6208878,-0.22492108,-0.26538765,-1.1122664,-0.5446158,-0.2679391,-1.6992588,-0.36995324,-0.11691493,0.2071297,-0.38370878,-0.34407565,0.7913033,1.8489523,1.7514817,0.89655364,-0.6996302
18,0.6916104,-0.0317213,-0.3928694,0.0017919134,-0.080978066,0.3105672,-0.74523985,-0.09052266,-2.4156582,-0.7640995,0.75266904,-1.4496965,0.5259305,-0.68426394,-1.2880487,0.7649832,-1.8490988,-0.9484075,-0.15578392,-1.1860602,-1.4193943,-0.83852804,-0.9644456,-1.8082305,-1.0010676,-1.5184722,-1.7851828,-1.4255995,-1.9775798,-1.4586667,-0.21356288,-0.8269416,0.482771,-0.4529505,-0.06879831,-0.17167996,1.2539989,0.47951254,0.5537462,0.41487128
19,0.4807463,0.076224096,-0.29988214,-0.10580238,-0.19956517,0.15419495,-0.6529145,-0.15275955,-2.28124,-1.2972546,0.35348824,-0.9046738,0.41835764,-0.3931014,-1.5144519,0.36554638,-1.5860872,-1.4726424,-0.24861644,-0.72611815,-1.6932746,-0.9503923,-0.8040029,-2.1133616,-1.0865474,-1.1163943,-2.1268997,-1.500466,-1.6553597,-1.8639736,-1.2406377,-1.4217036,-1.2551565,-0.28007045,-0.42961952,0.61137605,0.5274347,0.04367854,0.41368535,0.36672008
