,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
12,-0.5641598,0.85339415,0.106279865,0.6924606,0.44505218,0.10644344,0.18111898,0.31918603,-0.91650736,-0.2599552,0.51502144,-0.9978552,0.8025808,-0.950381,0.0021645415,0.8376778,-1.2745394,-0.8112449,-0.0065026167,-0.569779,-0.95368296,-0.17151488,-0.28675783,-1.7664669,-0.5032465,-1.2218761,-1.4108639,-0.80422413,-1.548838,-1.1507299,-1.1784599,-1.7185527,-1.1967345,-2.1208389,-1.765695,-1.9832559,-1.1518276,-0.94074124,-0.8666023,-1.0972903,0.8095548,1.3802838,-0.7651805,0.24889484,-0.30090556,-0.6427464,-0.9293357,-0.81369334,0.8379584,-0.22787157,-0.5964705,0.47653696,-0.24975626,-0.1940341,-0.32228026,-0.71500164,1.091613,-0.36999947,-0.7935823,-0.8638551,-0.044034854,-0.40985778,-0.84458804,-0.4134035,-1.1668392,-0.98531526,-0.2899042,-1.3077747,-0.56878287,-1.1510806,-1.0644693,-1.1635063,-1.0348144,-0.54832715,-0.23671074,-1.097796,-0.89808345,-0.53942037,0.06458854,-0.5934735
13,-0.46347535,0.8958291,-0.044551585,1.0231538,0.7667858,0.3375498,0.09976393,0.7470889,-1.3738714,-0.02168699,0.8549838,-0.79684335,1.3693198,-0.7573508,0.03949901,1.0756385,-1.152725,-0.825935,0.78403133,-0.27739736,-1.1543007,-0.17658086,-0.50721306,-1.9909377,0.31906918,-0.900534,-0.85260934,-1.0059476,-1.3822843,-1.2240028,-0.69559884,-2.0575821,-0.8486591,-1.832188,-1.3054289,-1.5665548,-0.54519147,-1.4600452,-0.96886736,-1.2148699,0.6805332,1.3213537,-0.01981348,-0.16174766,-0.26754034,-0.40208238,0.34048563,-1.1826079,2.154949,0.13190807,-1.0041645,0.894238,0.35198396,0.16398886,0.42437387,-0.41401199,2.024359,0.014347267,-1.4788043,-0.8607598,0.74558383,-1.0109085,-0.11171591,0.13201594,-1.4170128,-0.67160594,-0.52702475,-1.1698942,-0.13248074,-1.2354833,-0.78774893,-0.30368516,-1.0277591,-0.75718796,-0.8123633,-1.1569139,-0.56347007,-0.14644544,0.7328466,0.21034655
14,-0.65850526,0.8276212,0.21806525,0.5967569,0.15026827,0.57157594,0.14297748,0.14912379,-1.4176675,-0.5137289,1.4171295,-0.9341334,0.93307245,-0.8547866,0.5676964,0.6758289,-0.97632176,-0.5281448,0.3971128,-0.7796742,-0.76319677,-0.8014734,0.03815862,-1.3737446,-0.4185516,-0.7160665,-1.480671,-0.35547376,-0.9569531,-1.0893971,-0.9573466,-1.6075006,-0.99145097,-2.1404219,-1.5518805,-1.7187835,-0.7666285,-0.92715883,-1.4552555,-1.8072668,0.32565224,1.519493,-0.7923619,-0.4889975,-0.36892048,-0.31082368,-0.6285495,-0.17866157,0.925941,0.18414152,-0.53933495,0.005522348,-0.1332041,-0.48177376,-0.407577,-0.91083586,0.38923544,-0.31051093,-1.2833209,-0.7167595,-0.5042435,-0.8939312,-0.7921029,-0.5826137,-1.0626804,-1.154057,-0.033524524,-1.1294724,-0.67128617,-1.0083038,-1.4793817,-1.2962394,-0.9521751,-0.67598,-0.57205194,-0.97783667,-1.072105,-1.1769692,-0.3920137,-0.83475864
15,-0.6343928,0.49746206,0.4887417,1.4807465,0.23227239,0.71062094,0.5906123,0.3211842,-1.4955592,-0.5386563,0.9184718,-0.21785447,1.0265398,-0.7564214,0.3049757,0.66793585,-1.1799443,-0.5530941,0.2590403,-0.5443622,-1.0268645,-0.5594588,-0.25705034,-1.4956317,-0.5812622,-0.45115057,-2.074569,-0.5431052,-1.6111215,-0.8583317,-1.3222374,-1.4158719,-1.2588974,-1.7938836,-1.6364819,-1.6212008,-1.0158064,-1.5165575,-1.77006,-1.6185523,1.1678867,1.2361809,-0.4369326,0.51714975,0.16204318,0.4201874,-0.35380584,-0.5897234,1.537359,0.54448164,-0.060883697,0.6152424,-0.26755103,-0.020135075,-0.57659686,-0.97471786,1.3130975,-0.39135107,-1.238363,-0.789775,0.025750332,-0.8197949,-1.1072936,-0.37139854,-1.0303282,-1.1890802,0.48032814,-1.13106,-0.2694658,-1.0165968,-0.9801164,-1.0538385,-0.93909204,-0.7289967,-0.2880815,-1.2634147,-0.95154357,-0.5584252,-0.09980255,-0.84763265
16,-0.10513706,0.07170051,-0.027860397,-0.18153544,-0.20726427,0.52823836,-0.8617692,0.035296384,-0.9461442,-1.8667772,0.6431547,-0.84849966,0.057113156,-0.60240924,-1.3771106,0.018151889,-1.0966934,-0.70984304,-0.2785421,-1.2219841,-0.9231223,-0.86719126,-0.6251706,-1.4483721,-0.64232695,-1.0658908,-0.38989517,0.349789,0.3459494,-0.32964814,-0.96752316,-1.3127695,-0.8096601,-0.38308093,0.24449196,1.5705103,0.9378838,-0.3403484,-0.696513,-1.156687,0.9384479,0.35464582,-0.8254747,-1.1281655,0.7949628,-0.84317267,1.9674534,-0.9632718,0.058837425,0.8004614,-0.7131638,0.37094435,-0.27813348,-0.8484351,1.0808364,-0.9136124,1.2574389,-0.12012242,-0.58046395,-0.19522123,-0.07993866,-0.7361701,-0.286332,0.036405746,-0.25983387,-0.19962822,-0.10695556,0.40095663,0.37073946,0.5371152,0.21250452,0.10469121,-0.7248978,0.4282071,0.53399736,2.7785895,1.4736605,-0.14426334,-1.0787866,-0.6799394
17,0.24781777,0.47026327,-0.46441275,-0.31971937,0.28468442,0.35348374,-0.6952134,0.23233867,-1.544554,-1.5048726,1.6680963,-1.1997149,0.18820946,-0.24098854,-0.88856655,0.53328425,-1.0601469,-1.7375538,-0.12306229,-1.2313582,-1.0457325,-1.4869374,-0.37210095,-1.5178018,-0.16406837,-0.14682426,-1.0992514,-0.43225062,-0.16831738,-1.657059,-0.25516623,-0.1510035,0.18684478,-0.4487661,-0.34302673,0.942042,1.9997761,1.7207395,0.8373875,-0.8630825,-0.17016016,0.18660882,-0.46301284,-1.6375223,0.8313792,-1.1296248,1.0966268,-0.7767327,1.9160401,3.1031485,-0.745725,1.2680109,-0.12793964,-0.44067997,2.193035,-0.01111842,0.8363085,0.64404136,-0.82222295,0.38593632,0.33034584,-0.38918975,-0.4362159,-0.15815778,-0.46024168,0.29858828,1.5364667,0.3385626,-0.8300156,0.03417773,-0.11528899,0.54247636,0.82295895,0.286392,0.36679408,1.2776324,2.4849842,2.597287,0.9918961,-0.36924732
18,0.6610862,0.03651486,-0.45530245,0.038344003,-0.06267836,0.3634601,-0.7056379,-0.17719634,-2.4194908,-0.7391078,0.802758,-1.3543422,0.40664852,-0.6160556,-1.2598816,0.8587103,-1.8505822,-1.0247402,-0.14930566,-1.0773083,-1.4326963,-0.7583665,-0.8682887,-1.8377867,-0.9595848,-1.475525,-1.770634,-1.3450329,-1.8971196,-1.3622836,-0.19965383,-0.92438596,0.33108786,-0.5738886,-0.08330379,-0.07289269,1.3977525,0.6016676,0.5371696,0.29603118,0.31204793,0.16463296,-0.20108728,-1.6056089,0.3163351,0.039826702,0.9182664,-0.24250449,2.4380121,0.6819942,-0.058868513,0.84996635,-0.5724967,-0.38155672,0.94844395,-0.32240856,1.5581343,-0.38256505,0.08782071,-0.34140447,0.5846596,-0.68024564,-0.31760117,-0.46840066,-0.38149267,-0.68160945,0.55907065,-0.69897455,0.09826862,-0.7591103,-1.1535511,0.27520832,2.1244886,2.1256485,1.3023906,1.6894853,2.09107,1.6783967,1.959611,0.6721481
19,0.45486942,0.058906954,-0.34396842,-0.11929015,-0.27979147,0.18920164,-0.6269274,-0.25778955,-2.354309,-1.3734732,0.26243553,-0.71227103,0.32087255,-0.37921852,-1.463524,0.3325989,-1.5674487,-1.3447347,-0.20613715,-0.52155256,-1.6427436,-0.934724,-0.6065637,-2.1221852,-1.0940512,-1.1370857,-2.1888041,-1.4742355,-1.5950514,-1.8364741,-1.3069482,-1.4470792,-1.2930413,-0.24639589,-0.32919782,0.76756865,0.6382988,0.11732418,0.49304602,0.28989133,1.1139888,0.65275645,-0.05865827,-1.5689279,0.69515187,0.16237818,0.52135175,0.36655587,2.028404,0.3309739,-1.0626833,0.47476813,-0.4814505,-0.99583817,1.3219655,-0.6085096,0.9179429,0.22954582,-0.22140168,-0.39075145,0.42725492,-0.32533297,-0.4650351,-0.04135716,-0.8233273,-1.063894,-0.047597513,-1.2781416,-0.4427911,-0.85540956,-0.1010897,0.16987553,-0.38582742,1.6643003,1.5682135,2.230226,0.6379944,1.1754676,0.6266992,1.4865355
20,-0.9223084,0.72697526,0.30636606,0.91601014,0.76371294,0.11948862,0.60276103,-0.10475688,-0.9015239,-0.67647994,-0.16926241,0.4513337,0.30132306,-1.3394109,-0.044969834,-0.0028349082,-0.51238,-1.3201205,-0.32090226,-0.20148526,-1.3727164,-0.9270604,-0.24480331,-1.8271099,-0.35267654,-1.2467916,-1.3457547,-1.3098137,-0.92729115,-1.5911283,-0.9287858,-1.5688926,-1.068497,-1.7080266,-1.8178998,-2.1914468,-1.023306,-1.6614368,-1.5281428,-2.0391426,-0.44479316,1.2244891,-0.94135475,0.16088666,-0.90257776,-0.90893644,-1.2662354,-0.7626608,0.21820816,-1.1806757,-1.0724878,-0.32536137,-0.17977719,-0.25728783,-0.8340355,-0.47561368,-0.24128921,-0.3674257,-0.418785,-1.2913188,0.6985916,-0.61291736,-1.5666852,-0.27904204,-1.4235247,-1.1087153,-0.6020129,-0.9947585,-0.99745,-1.2629737,-1.2569089,-1.0557683,-0.68296057,-0.9827461,-0.20723686,-0.6442223,-0.8328616,-1.0726258,-0.83984077,-0.6605535
21,-1.138639,1.052778,0.32782122,1.1336716,1.0076168,0.5768424,1.0992899,0.18318553,-0.73873407,-1.0179648,0.46077588,0.2847048,-0.0135306865,-0.5654804,0.3444167,0.042089634,-0.090506025,-0.6911131,0.066962734,-0.008353833,-1.2754456,-0.43315887,0.21050619,-1.6468251,-0.11598504,-1.0108079,-1.1600217,-1.2169391,-1.4009298,-1.3125929,-0.75445586,-1.5943904,-1.2732897,-1.5467689,-1.857314,-1.2237328,-0.9905222,-1.5400574,-1.5463669,-1.9135413,0.5283773,1.2157882,-0.346581,0.22086486,-0.8800823,-0.8457168,-1.726366,-0.89367497,-0.14362876,-1.3976382,-1.5497514,-0.4375396,-0.7269663,-0.50083286,-1.0174292,-0.761965,-0.37609342,-0.5665802,-1.2486358,-1.1381088,0.95667315,-0.80774456,-1.66463,-0.4236852,-0.879942,-0.919497,-0.515358,-0.73685265,-0.75637454,-1.2542952,-1.34906,-1.1078516,-1.0466807,-0.9560102,-0.6640851,-1.0988437,-1.1542126,-1.1355244,-1.034733,-1.0383798
